title,genres,top_10_tags,avg_rating,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0
Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"['toys', 'computer animation', 'pixar animation', 'kids and family', 'animation', 'kids', 'pixar', 'children', 'cartoon', 'imdb top 250']",3.921239561324077,178,506,266,1440,1060,8751,4200,17136,3890,12268
Jumanji (1995),Adventure|Children|Fantasy,"['adventure', 'jungle', 'children', 'kids', 'special effects', 'fantasy', 'animals', 'fun movie', 'childhood', 'family']",3.2119768016904193,211,708,429,2227,1532,7598,2266,5156,452,1664
Grumpier Old Men (1995),Comedy|Romance,"['good sequel', 'sequel', 'sequels', 'comedy', 'original', 'crappy sequel', 'destiny', 'great', 'romance', 'fish']",3.1510404397330194,123,661,189,1445,514,5170,618,2740,121,1154
Father of the Bride Part II (1995),Comedy,"['good sequel', 'father daughter relationship', 'sequels', 'sequel', 'comedy', 'pregnancy', 'family', 'wedding', 'parenthood', 'funny']",3.064591727653976,164,643,206,1429,508,5397,526,2319,93,876
Heat (1995),Action|Crime|Thriller,"['crime', 'heist', 'gunfight', 'bank robbery', 'great acting', 'imdb top 250', 'action', 'complex characters', 'los angeles', 'realistic action']",3.8349303318130468,27,284,50,883,321,5825,1519,8153,1757,5080
Sabrina (1995),Comedy|Romance,"['remake', 'romantic', 'romantic comedy', 'romance', 'paris', 'good romantic comedies', 'destiny', 'chick flick', 'based on a play', 'love story']",3.3664840675873777,99,361,119,1037,372,5150,602,3529,186,1506
GoldenEye (1995),Action|Adventure|Thriller,"['007 (series)', '007', 'bond', 'franchise', 'espionage', 'secret service', 'action', 'chase', 'spying', 'spies']",3.430029305292191,106,546,176,1783,875,11004,2394,8752,745,2624
"American President, The (1995)",Comedy|Drama|Romance,"['president', 'politics', 'political', 'world politics', 'romantic comedy', 'love story', 'romantic', 'romance', 'drama', 'single father']",3.667712806959586,46,296,68,831,379,5351,992,6716,443,3040
Casino (1995),Crime|Drama,"['organized crime', 'mafia', 'mob', 'gangster', 'gangsters', 'casino', 'violent', 'las vegas', 'violence', 'narrated']",3.7874554444061173,38,209,62,674,374,3799,1560,6159,1626,2893
Sense and Sensibility (1995),Drama|Romance,"['18th century', 'adapted from:book', 'costume drama', 'period piece', 'romantic', 'jane austen', '19th century', 'literature', 'england', 'based on a book']",3.9685730875308463,64,422,48,670,179,3884,852,7255,828,6465
Ace Ventura: When Nature Calls (1995),Comedy,"['goofy', 'silly fun', 'comedy', 'dumb', 'detective', 'stupid as hell', 'hilarious', 'good sequel', 'funny as hell', 'very funny']",2.6074123603018435,876,3100,813,3517,1382,6062,1467,2386,384,951
Get Shorty (1995),Comedy|Crime|Thriller,"['mob', 'great movie', 'gangsters', 'gangster', 'cool', 'mafia', 'great', 'original', 'based on a book', 'crime']",3.581688505556477,76,509,118,1443,510,7400,1370,8678,552,3460
Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"['serial killer', 'suspenseful', 'detective', 'suspense', 'police investigation', 'murder mystery', 'tense', 'twists & turns', 'investigation', 'murder']",3.319399677679291,78,242,114,832,477,3701,664,2814,133,873
Leaving Las Vegas (1995),Drama|Romance,"['drinking', 'loneliness', 'melancholic', 'love', 'alcoholism', 'depressing', 'great acting', 'las vegas', 'relationships', 'love story']",3.689509581032803,76,828,69,1348,273,5199,1060,7215,840,4645
Dangerous Minds (1995),Drama,"['teacher', 'high school', 'inspirational', 'based on true story', 'mentor', 'good soundtrack', 'gangsters', 'good', 'school', 'drama']",3.250344462109168,69,299,152,815,513,3620,826,2157,212,772
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"['future', 'time loop', 'time travel', 'science fiction', 'sci fi', 'futuristic', 'complex', 'dystopia', 'original', 'complicated plot']",3.8980546909737663,96,516,127,1519,556,8752,3323,15916,4547,9628
Babe (1995),Children|Drama,"['talking animals', 'animals', 'animal movie', 'pigs', 'children', 'heartwarming', 'cute', 'sweet', 'cute!', 'original']",3.6430940939389242,361,1097,371,1954,1093,7463,1905,9625,906,7480
Dead Man Walking (1995),Crime|Drama,"['death penalty', 'death', 'crime', 'oscar (best actress)', 'murder', 'drama', 'based on a book', 'redemption', 'social commentary', 'compassionate']",3.9427170935652844,35,242,43,645,221,4336,1050,7564,853,5820
Clueless (1995),Comedy|Romance,"['teen movie', 'teen', 'girlie movie', 'teenager', 'high school', 'teens', 'teenagers', 'chick flick', 'awesome soundtrack', 'comedy']",3.413632208425383,194,849,303,1999,924,8454,1895,7923,677,3036
Mortal Kombat (1995),Action|Adventure|Fantasy,"['video game adaptation', 'based on a video game', 'martial arts', 'video game', 'fight scenes', 'videogame', 'fighting', 'computer game', 'awesome soundtrack', 'action']",2.653874918201365,463,1281,453,1782,684,3501,520,1423,85,505
Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"['serial killer', 'detective', 'police investigation', 'powerful ending', 'dark', 'imdb top 250', 'great ending', 'surprise ending', 'crime', 'investigation']",4.053492566302111,125,603,115,1027,462,5861,2911,14344,5780,12021
Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"['disney animated feature', 'animation', 'native americans', 'indians', 'cartoon', 'talking animals', 'disney', 'animals', 'kids and family', 'story']",2.9461137513414073,346,859,404,1722,931,4479,1006,2298,259,742
